cell_id,umap_1,umap_2
c_1_51_1029,3.97499745339951,-3.39216634533651
c_1_51_1090,-5.04374177008071,-0.06995561621435
c_1_51_1137,-9.93877131491104,-1.58431169293173
c_1_51_1144,4.63211815805039,-2.39055415890463
c_1_51_1183,-2.48038870840469,0.221949876329824
c_1_51_1524,0.74610113353333,-7.21599718830831
c_1_51_1653,0.190763317056508,-5.58798834584005
c_1_51_1843,0.487491838641972,1.5331709692692
c_1_51_2147,-1.27268058805862,-3.31015583775289
c_1_51_2421,-0.27024292200008,1.31085303523295
c_1_51_2586,-4.44784981756607,-0.526183127381876
c_1_51_2588,-0.124635733656078,1.14809897639506
c_1_51_38,-0.14188836886683,-5.53807160160787
c_1_51_690,-6.80142170935073,-1.38121351502188
c_1_51_767,-2.52172691374221,-6.63478991291769
c_1_51_85,2.16025941819748,0.098680258772299
c_1_51_903,5.06331246347031,-2.92382404110678
c_1_51_936,-1.03699190168777,-5.37926766178854
c_1_51_954,-3.78626329451004,-1.28070267937429
c_1_52_1125,-1.3989242985765,-4.32711025974996
c_1_52_1192,3.73959272355637,2.6454711268162
c_1_52_1247,-1.70272321253219,-7.08821532032736
c_1_52_1304,-3.48387128858963,-0.349395564713553
c_1_52_1341,-0.44590622930923,-4.91852709553488
c_1_52_1411,1.86941497773728,-0.094881473996714
c_1_52_1733,-3.07802278547683,-0.291726729788855
c_1_52_1805,0.688061408706517,-1.62765940926321
c_1_52_1963,-2.83917696028152,-2.05176731846578
c_1_52_2342,-4.5000863745729,0.731450648090765
c_1_52_2437,-3.65781576185623,-1.36254307530172
c_1_52_2455,2.02603047341904,0.313046545765325
c_1_52_2495,-4.58936554937759,1.14650097586863
c_1_52_2514,-5.12438113241592,0.320086509964392
c_1_52_254,-3.69613272695938,-2.59194800160177
c_1_52_266,-1.83484453707138,-1.84854575894125
c_1_52_349,-3.77321798353591,-3.48863527081259
c_1_52_662,-4.90675456076065,0.670889944813177
c_1_52_832,-4.38857275991836,-1.31331154606588
c_1_53_1584,-4.0318668559114,-1.59581455490835
c_1_53_1609,-1.03353340177932,-7.2152523686672
c_1_53_1626,-3.89837510137954,1.68485143878214
c_1_53_1715,-1.49255961923996,-6.81693884632833
c_1_53_1824,-3.38912922888198,-1.24465164444692
c_1_53_2116,0.835414104171605,0.983294517776891
c_1_53_2236,5.59486048669419,0.639276952526495
c_1_53_2423,-1.07262719421783,-7.50831410191305
c_1_53_2434,-1.75019080191055,-1.71321245930441
c_1_53_2662,-8.72482401876846,1.68045976855509
c_1_53_2690,-0.982180066398769,1.99618151881449
c_1_53_2748,-5.22693783789077,-2.04692777893789
c_1_53_2862,2.06267087907395,-4.74773213169821
c_1_53_384,-4.72682196646133,0.308810920498297
c_1_53_4,-3.5142305567781,-1.44752356312521
c_1_53_425,-4.65995986013809,-1.14509871504553
c_1_53_518,-4.94813544302383,-0.212827318304256
c_1_53_821,-4.05854398756424,-0.029778151729182
c_1_54_1349,-0.417521499089389,-6.24576899311788
c_1_54_141,-3.22356135397354,-1.90679523251303
c_1_54_1529,-2.78306324034133,-1.64544114372976
c_1_54_1729,3.02278798074326,5.11308863856547
c_1_54_1812,-1.41588575392166,3.97511294581644
c_1_54_2039,-3.78409130125442,0.690255017063543
c_1_54_2075,3.32310955972275,0.020717293999121
c_1_54_2166,-1.59448952227035,-7.30204912922628
c_1_54_2213,-3.01013237982193,-3.35202428601034
c_1_54_224,5.63434927911362,3.00911310412638
c_1_54_2507,-6.24841601400772,-1.26746925614126
c_1_54_2542,0.372566573329777,3.63927295901529
c_1_54_260,-0.152337629340082,-3.49308821461447
c_1_54_317,4.88258831948838,-1.97431597016104
c_1_54_535,0.472403220840306,3.67271593310587
c_1_55_1137,4.57564681024155,4.31215337016337
c_1_55_1255,-1.49631256609359,-4.11528560421713
c_1_55_1530,4.87514441461167,1.45320394732706
c_1_55_1566,-2.82568938284317,-5.36954399845846
c_1_55_1758,-0.39428072421947,1.19340732791178
c_1_55_1938,-2.17809958010116,4.13475373484842
c_1_55_208,0.390852205463261,1.33847716548197
c_1_55_2384,-4.06869823484817,0.424012155315801
c_1_55_2524,-2.04159421472946,-0.804131298282221
c_1_55_2529,-0.977142818264156,2.97631505229227
c_1_55_2592,0.53362166137299,1.06905832984202
c_1_55_2676,0.005311392255635,3.04967549540751
c_1_55_2808,5.14802115411362,5.24500182368509
c_1_55_293,0.976566247649998,-1.48412415287741
c_1_55_3,3.48059242219529,2.04567626216166
c_1_55_710,3.39008014649949,-0.203173126050308
